
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	2037
GROUND	geneva_conventions_1949__humanitarian_ceiling_reading	[deontological,deontological]
GROUND	geneva_conventions_1949__security_maximization_reading	[conventional,instrumental,instrumental]
GROUND	geneva_conventions_protective_scope__hybrid_proportionality_reading	[conventional,conventional]
GROUND	geneva_conventions_protective_scope__state_centric_reading	[conventional,conventional]
GROUND	geneva_conventions_protective_scope__universal_rights_reading	[conventional,deontological]
GROUND	gita_kurukshetra_discourse__orthodox_literal_reading	[conventional,deontological,deontological]
GROUND	gita_kurukshetra_discourse__universalist_devotional_reading	[deontological,deontological]
GROUND	gold_fiat_transition_mechanism__automatic_constraint_reading	[empirically_contingent,empirically_contingent]
GROUND	gold_fiat_transition_mechanism__composite_overdetermination_reading	[empirically_contingent,empirically_contingent]
GROUND	gold_fiat_transition_mechanism__creditor_discipline_reading	[deontological,empirically_contingent]
GROUND	gpl_copyleft_scope__enforcement_vacuum_reading	[conventional,deontological]
GROUND	gpl_copyleft_scope__narrow_scope_reading	[deontological,empirically_contingent]
GROUND	gpl_copyleft_scope__strong_copyleft_reading	[deontological,instrumental]
GROUND	gpl_derivative_work_trigger__broad_copyleft_reading	[deontological,empirically_contingent]
GROUND	gpl_derivative_work_trigger__narrow_linking_permissive_reading	[conventional,conventional]
GROUND	gpl_reciprocity_obligation__copyleft_as_commons_reading	[conventional,instrumental]
GROUND	gpl_reciprocity_obligation__copyleft_as_freedom_reading	[deontological,empirically_contingent]
GROUND	gpl_reciprocity_obligation__copyleft_as_restriction_reading	[conventional,deontological]
GROUND	hagia_sophia_substrate__islamic_sovereignty_reading	[conventional,conventional]
GROUND	hagia_sophia_substrate__orthodox_restitution_reading	[deontological,deontological]
GROUND	hagia_sophia_substrate__universal_heritage_reading	[conventional,deontological]
GROUND	hebrew_continuity__bridge_pidginized	[conventional,instrumental]
GROUND	hebrew_continuity__liturgical_preservation	[deontological,empirically_contingent]
GROUND	hebrew_continuity__native_generative	[deontological,empirically_contingent]
GROUND	hebrew_linguistic_life__liturgical_preservation_reading	[deontological,deontological]
GROUND	hebrew_linguistic_life__marketplace_pidgin_reading	[deontological,instrumental]
GROUND	hebrew_linguistic_life__native_generational_reading	[conventional,conventional]
GROUND	hebrew_living_language__literary_revival_reading	[empirically_contingent,instrumental]
GROUND	hebrew_living_language__liturgical_continuity_reading	[conventional,deontological]
GROUND	hebrew_living_language__native_generation_reading	[conventional,empirically_contingent]
GROUND	hebrew_vitality__hybrid_continuity_reading	[empirically_contingent,empirically_contingent]
GROUND	hebrew_vitality__liturgical_reading	[conventional,deontological]
GROUND	hebrew_vitality__native_daily_reading	[conventional,conventional]
GROUND	herem_command_dt7__allegorical_displacement_reading	[deontological,deontological]
GROUND	herem_command_dt7__contextual_supersession_reading	[deontological,deontological,empirically_contingent]
GROUND	herem_command_dt7__durable_separation_reading	[deontological,theological]
GROUND	historical_treaty_substrate__extinguishment_reading	[conventional,conventional]
GROUND	historical_treaty_substrate__nation_to_nation_reading	[conventional,conventional,deontological]
GROUND	hoa_covenant_scope__behavioral_control_reading	[conventional,deontological]
GROUND	hoa_covenant_scope__coordination_reading	[empirically_contingent,empirically_contingent]
GROUND	hoa_covenant_scope__extraction_reading	[empirically_contingent,empirically_contingent]
GROUND	homoousios_christology__arian_reading	[conventional,empirically_contingent]
GROUND	homoousios_christology__pro_nicene_reading	[conventional,deontological]
GROUND	homoousios_christology__semi_arian_reading	[deontological,instrumental]
GROUND	homoousios_nicene__honorific_similarity_reading	[conventional,conventional,instrumental]
GROUND	homoousios_nicene__metaphysical_equality_reading	[deontological,deontological]
GROUND	homoousios_nicene__subordinationist_reading	[deontological,empirically_contingent]
GROUND	honor_satisfaction_mechanism__composite_reading	[empirically_contingent,instrumental]
GROUND	honor_satisfaction_mechanism__contraction_reading	[deontological,empirically_contingent]
GROUND	honor_satisfaction_mechanism__decline_reading	[empirically_contingent,instrumental]
GROUND	honor_satisfaction_substrate__composite_overdetermined_reading	[empirically_contingent,empirically_contingent]
GROUND	honor_satisfaction_substrate__cultural_contraction_reading	[deontological,empirically_contingent]
GROUND	honor_satisfaction_substrate__practice_decline_reading	[conventional,empirically_contingent]
GROUND	honor_settlement_legitimacy__composite_reading	[empirically_contingent,empirically_contingent]
GROUND	honor_settlement_legitimacy__contraction_reading	[deontological,empirically_contingent]
GROUND	honor_settlement_legitimacy__drop_reading	[conventional,empirically_contingent]
GROUND	honor_violence_legitimacy__composite_reading	[deontological,empirically_contingent]
GROUND	honor_violence_legitimacy__contraction_reading	[conventional,deontological]
GROUND	honor_violence_legitimacy__drop_reading	[conventional,empirically_contingent]
GROUND	human_dignity_ai_governance__magisterial_integralist_reading	[conventional,theological]
GROUND	human_dignity_ai_governance__pluralist_pragmatic_reading	[conventional,instrumental]
GROUND	human_dignity_ai_governance__secular_humanist_reading	[conventional,deontological]
GROUND	human_dignity_ai_governance__techno_optimist_reading	[instrumental,instrumental]
GROUND	human_dignity_ai_safeguarding__autonomy_rights_reading	[deontological,empirically_contingent]
GROUND	human_dignity_ai_safeguarding__imago_dei_reading	[deontological,empirically_contingent,theological]
GROUND	human_dignity_ai_safeguarding__posthumanist_reading	[deontological,instrumental]
GROUND	human_transcendence_pathway__babel_reading	[empirically_contingent,empirically_contingent]
GROUND	human_transcendence_pathway__jerusalem_reading	[deontological,empirically_contingent,theological]
GROUND	human_transcendence_pathway__technocratic_vs_incarnational_reading	[empirically_contingent,empirically_contingent]
GROUND	humane_treatment_standard__absolute_prohibition	[deontological,deontological]
GROUND	humane_treatment_standard__contextual_necessity	[deontological,instrumental]
GROUND	humane_treatment_standard__proportionality_balancing	[deontological,empirically_contingent]
GROUND	ietf_openness_commitment__capture_substrate_reading	[empirically_contingent,instrumental]
GROUND	ietf_openness_commitment__commons_stewardship_reading	[empirically_contingent,instrumental]
GROUND	ietf_openness_commitment__legitimacy_erosion_reading	[deontological,empirically_contingent]
GROUND	ihl_distinction_proportionality__categorical_prohibition_reading	[deontological,deontological]
GROUND	ihl_distinction_proportionality__human_agency_reading	[deontological,deontological]
GROUND	ihl_distinction_proportionality__outcomes_based_reading	[conventional,instrumental]
GROUND	imperial_mandate__bakufu_delegation_reading	[conventional,deontological,empirically_contingent]
GROUND	imperial_mandate__loyalist_restoration_reading	[deontological,deontological]
GROUND	imposition_mechanism_kernel__endogenous_climb_reading	[empirically_contingent,empirically_contingent]
GROUND	imposition_mechanism_kernel__exogenous_override_reading	[empirically_contingent,empirically_contingent]
GROUND	imposition_mechanism_kernel__hybrid_legitimation_reading	[deontological,empirically_contingent]
GROUND	imposition_pathway_kernel__endogenous_climb_reading	[empirically_contingent,empirically_contingent]
GROUND	imposition_pathway_kernel__exogenous_override_reading	[empirically_contingent,empirically_contingent]
GROUND	imposition_pathway_kernel__hybrid_cascade_reading	[empirically_contingent,empirically_contingent]
GROUND	income_support_commitment__dependency_trap_reading	[empirically_contingent,empirically_contingent]
GROUND	income_support_commitment__freedom_floor_reading	[conventional,deontological,empirically_contingent]
GROUND	income_support_commitment__targeting_efficiency_reading	[empirically_contingent,instrumental]
GROUND	income_support_conditionality__dependency_trap_reading	[deontological,empirically_contingent]
GROUND	income_support_conditionality__freedom_floor_reading	[deontological,instrumental]
GROUND	income_support_conditionality__wage_subsidy_reading	[empirically_contingent,empirically_contingent]
GROUND	ip_category_emergence__first_holding_reading	[conventional,conventional]
GROUND	ip_category_emergence__synchronic_diachronic_seam	[conventional,deontological]
GROUND	ip_category_emergence__thinkability_reading	[deontological,empirically_contingent]
GROUND	irc_469_material_participation_kernel__strategic_shelter_reading	[conventional,conventional]
GROUND	irc_469_material_participation_kernel__strict_gatekeeper_reading	[deontological,instrumental]
GROUND	jati_practice_norm__colonial_census_reading	[empirically_contingent,instrumental]
GROUND	jati_practice_norm__localized_practice_reading	[empirically_contingent,empirically_contingent]
GROUND	jati_practice_norm__orthodox_textual_reading	[deontological,theological]
GROUND	jcpoa_treaty_bindingness__binding_multilateral_reading	[conventional,deontological]
GROUND	jcpoa_treaty_bindingness__graduated_compliance_reading	[conventional,instrumental]
GROUND	jcpoa_treaty_bindingness__transactional_provisional_reading	[conventional,deontological,instrumental]
GROUND	jewish_self_determination__diasporist_reading	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	jewish_self_determination__liberal_nationalist_reading	[deontological,deontological,instrumental]
GROUND	jewish_self_determination__religious_covenant_reading	[deontological,theological]
GROUND	jewish_self_determination__settler_colonial_reading	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	jewish_sovereignty_palestine__liberal_nationalist_reading	[deontological,deontological,deontological]
GROUND	jewish_sovereignty_palestine__post_zionist_reading	[deontological,empirically_contingent,instrumental]
GROUND	jewish_sovereignty_palestine__religious_zionist_reading	[theological,theological,theological]
GROUND	jewish_territorial_claim__cultural_zionism_reading	[conventional,deontological,instrumental]
GROUND	jewish_territorial_claim__political_zionism_reading	[empirically_contingent,empirically_contingent]
GROUND	jewish_territorial_claim__revisionist_zionism_reading	[deontological,deontological,empirically_contingent]
GROUND	jihad_quranic_corpus__defensive_spiritual_reading	[conventional,deontological,deontological]
GROUND	jihad_quranic_corpus__expansionist_legalist_reading	[conventional,deontological]
GROUND	jihad_quranic_corpus__revolutionary_vanguard_reading	[deontological,empirically_contingent]
GROUND	john_1_1_logos__orthodox_christological	[deontological,deontological]
GROUND	john_1_1_logos__subordinationist	[empirically_contingent,empirically_contingent]
GROUND	july_charter_sovereign_legitimacy__guided_nationalism_reading	[conventional,deontological]
GROUND	july_charter_sovereign_legitimacy__military_custodian_reading	[empirically_contingent,instrumental]
GROUND	july_charter_sovereign_legitimacy__secular_democratic_reading	[conventional,deontological]
GROUND	jurisprudential_method_kernel__hanafi_reading	[conventional,instrumental]
GROUND	jurisprudential_method_kernel__hanbali_reading	[deontological,deontological,empirically_contingent]
GROUND	jurisprudential_method_kernel__maliki_reading	[conventional,deontological]
GROUND	jurisprudential_method_kernel__shafii_reading	[empirically_contingent,instrumental]
GROUND	kami_buddha_ontology__domain_partition	[conventional,instrumental]
GROUND	kami_buddha_ontology__honji_suijaku_monism	[deontological,deontological]
GROUND	kami_buddha_ontology__incoherent_bundle	[empirically_contingent,empirically_contingent]
GROUND	kjv_text_1611__exclusive_inspiration_reading	[theological,theological,theological]
GROUND	kjv_text_1611__functional_equivalence_reading	[conventional,instrumental]
GROUND	kjv_text_1611__revisable_translation_reading	[empirically_contingent,instrumental]
GROUND	kodashim_commandment_status__messianic_deferral	[conventional,theological]
GROUND	kodashim_commandment_status__performance_only	[conventional,conventional]
GROUND	kodashim_commandment_status__study_as_performance	[deontological,deontological]
GROUND	kodashim_corpus__performance_only	[deontological,empirically_contingent]
GROUND	kodashim_corpus__study_as_exercise	[deontological,deontological]
GROUND	kodashim_corpus__substitution_archive	[deontological,deontological]
GROUND	kodashim_obligation__study_as_archive	[conventional,deontological]
GROUND	kodashim_obligation__study_as_performance	[deontological,deontological]
GROUND	kodashim_obligation__study_as_preparation	[deontological,empirically_contingent,instrumental]
GROUND	latin_correctness__continuity_reading	[conventional,empirically_contingent]
GROUND	latin_correctness__hybrid_reading	[conventional,empirically_contingent]
GROUND	latin_correctness__rupture_reading	[deontological,deontological,empirically_contingent]
GROUND	lausanne_minority_protections__expansive_reading	[deontological,deontological]
GROUND	lausanne_minority_protections__restrictive_reading	[conventional,deontological]
GROUND	legal_personhood_boundary__developmental_potentiality_reading	[deontological,deontological]
GROUND	legal_personhood_boundary__functional_capacity_reading	[deontological,empirically_contingent]
GROUND	legal_personhood_boundary__restrictive_anthropocentric_reading	[conventional,deontological]
GROUND	legitimacy_of_imposed_practice__endogenous_climb_reading	[deontological,empirically_contingent]
GROUND	legitimacy_of_imposed_practice__exogenous_override_reading	[empirically_contingent,empirically_contingent]
GROUND	legitimacy_of_imposed_practice__hybrid_scaffolding_reading	[empirically_contingent,empirically_contingent]
GROUND	legitimacy_of_practice_standardization__dual_practice_equilibrium_reading	[conventional,instrumental]
GROUND	legitimacy_of_practice_standardization__endogenous_displacement_reading	[conventional,instrumental]
GROUND	legitimacy_of_practice_standardization__exogenous_override_reading	[empirically_contingent,instrumental]
GROUND	legitimate_health_intervention__bodily_autonomy_primary	[deontological,deontological]
GROUND	legitimate_health_intervention__proportionality_reading	[deontological,deontological]
GROUND	legitimate_health_intervention__public_health_primary	[empirically_contingent,instrumental]
GROUND	legitimate_knowledge_boundary__credentialed_expertise_reading	[conventional,empirically_contingent]
GROUND	legitimate_knowledge_boundary__experiential_pluralism_reading	[conventional,deontological,instrumental]
GROUND	legitimate_knowledge_boundary__hybrid_coproduction_reading	[conventional,deontological]
GROUND	liability_attribution__deployer_liability	[empirically_contingent,instrumental]
GROUND	liability_attribution__developer_liability	[deontological,empirically_contingent]
GROUND	liability_attribution__shared_liability	[deontological,instrumental]
GROUND	licensing_statute_mandate__graduated_access_filter	[deontological,empirically_contingent]
GROUND	licensing_statute_mandate__public_safety_coordination	[empirically_contingent,empirically_contingent]
GROUND	licensing_statute_mandate__rent_seeking_suppression	[empirically_contingent,empirically_contingent]
GROUND	literacy_acquisition_kernel__balanced_literacy_reading	[conventional,empirically_contingent]
GROUND	literacy_acquisition_kernel__phonics_reading	[empirically_contingent,empirically_contingent]
GROUND	literacy_acquisition_kernel__structured_literacy_reading	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	literacy_acquisition_kernel__whole_language_reading	[deontological,empirically_contingent]
GROUND	living_language_status__literary_continuity_reading	[empirically_contingent,empirically_contingent]
GROUND	living_language_status__liturgical_preservation_reading	[conventional,deontological]
GROUND	living_language_status__native_generation_reading	[conventional,empirically_contingent]
GROUND	lycurgan_laws__adaptive_fiction_reading	[empirically_contingent,instrumental]
GROUND	lycurgan_laws__sacral_fidelity_reading	[deontological,theological]
GROUND	maat_order_principle__distributed_maintenance_reading	[conventional,instrumental]
GROUND	maat_order_principle__divine_mandate_reading	[deontological,theological]
GROUND	magna_carta_1215__baronial_privilege_reading	[conventional,deontological]
GROUND	magna_carta_1215__living_document_reading	[conventional,deontological]
GROUND	magna_carta_1215__universal_rights_reading	[deontological,deontological]
GROUND	magna_carta_clause_39__feudal_prerogative_reading	[conventional,deontological]
GROUND	magna_carta_clause_39__liberal_due_process_reading	[deontological,instrumental]
GROUND	magna_carta_clause_39__originalist_limitation_reading	[empirically_contingent,instrumental]
GROUND	magna_carta_constraint_authority__feudal_obsolescence_reading	[conventional,empirically_contingent]
GROUND	magna_carta_constraint_authority__living_constitutionalism_reading	[deontological,instrumental]
GROUND	magna_carta_constraint_authority__parliamentary_sovereignty_reading	[conventional,conventional]
GROUND	mandate_legitimacy_scope__bodily_autonomy_primary	[deontological,deontological]
GROUND	mandate_legitimacy_scope__proportionality_reading	[deontological,deontological]
GROUND	mandate_legitimacy_scope__public_health_primary	[deontological,deontological]
GROUND	manifesto_revolutionary_method__council_communist_reading	[conventional,deontological,deontological]
GROUND	manifesto_revolutionary_method__democratic_gradualism_reading	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	manifesto_revolutionary_method__vanguard_rupture_reading	[empirically_contingent,empirically_contingent,instrumental]
GROUND	market_as_natural_default__beneficiary_maintained_reading	[empirically_contingent,empirically_contingent]
GROUND	market_as_natural_default__hybrid_amnesia_reading	[empirically_contingent,empirically_contingent]
GROUND	market_as_natural_default__lapsed_alternative_reading	[empirically_contingent,empirically_contingent]
GROUND	market_naturalization__beneficiary_maintained_reading	[empirically_contingent,empirically_contingent]
GROUND	market_naturalization__hybrid_reading	[empirically_contingent,empirically_contingent]
GROUND	market_naturalization__lapsed_alternative_reading	[empirically_contingent,empirically_contingent]
GROUND	marriage_authority__communal_autonomy_reading	[deontological,deontological]
GROUND	marriage_authority__federalist_millet_reading	[deontological,deontological]
GROUND	marriage_authority__gender_rights_reading	[deontological,deontological]
GROUND	marriage_authority__secularist_reading	[deontological,empirically_contingent]
GROUND	marriage_authority_kernel__christian_canonical_reading	[deontological,theological]
GROUND	marriage_authority_kernel__hindu_codified_reading	[conventional,deontological,empirically_contingent]
GROUND	marriage_authority_kernel__muslim_shariat_reading	[conventional,deontological]
GROUND	marriage_authority_kernel__parsi_communal_reading	[deontological,empirically_contingent]
GROUND	marriage_authority_kernel__secular_civil_reading	[conventional,deontological]
GROUND	marriage_commitment_legitimacy__endogenous_reinterpretation_reading	[empirically_contingent,theological,theological]
GROUND	marriage_commitment_legitimacy__exogenous_override_reading	[deontological,empirically_contingent]
GROUND	marriage_commitment_legitimacy__hybrid_pragmatic_reading	[deontological,instrumental]
GROUND	marriage_commitment_reversal__endogenous_reinterpretation_reading	[deontological,theological]
GROUND	marriage_commitment_reversal__exogenous_override_reading	[empirically_contingent,instrumental]
GROUND	marriage_commitment_reversal__practice_doctrine_gap	[conventional,instrumental]
GROUND	marriage_sacrament__civic_pastoral_reading	[conventional,deontological]
GROUND	marriage_sacrament__hierarchical_indissolubility_reading	[conventional,deontological]
GROUND	monetary_anchor_principle__overdetermined_composite_reading	[empirically_contingent,empirically_contingent]
GROUND	monetary_anchor_principle__punctuated_swap_reading	[conventional,empirically_contingent]
GROUND	monetary_anchor_principle__triffin_inevitability_reading	[empirically_contingent,empirically_contingent]
GROUND	monopoly_rulebook__extraction_demo_reading	[empirically_contingent,instrumental]
GROUND	monopoly_rulebook__social_scaffold_reading	[conventional,instrumental]
GROUND	monopoly_rulebook__tournament_orthodoxy_reading	[deontological,instrumental]
GROUND	montevideo_statehood_criteria__constitutive_reading	[conventional,deontological]
GROUND	montevideo_statehood_criteria__declaratory_reading	[deontological,empirically_contingent]
GROUND	montevideo_statehood_criteria__hybrid_reading	[deontological,deontological]
GROUND	nafta_jurisdictional_boundary__capital_supremacy_reading	[conventional,instrumental]
GROUND	nafta_jurisdictional_boundary__embedded_liberalism_reading	[deontological,instrumental]
GROUND	nafta_jurisdictional_boundary__sovereignty_primacy_reading	[deontological,deontological]
GROUND	naskh_principle__classical_abrogation	[deontological,empirically_contingent]
GROUND	naskh_principle__contextual_harmonization	[conventional,deontological]
GROUND	naskh_principle__progressive_restriction	[deontological,empirically_contingent]
GROUND	nicene_christological_kernel__homoiousios_reading	[deontological,theological]
GROUND	nicene_christological_kernel__homoousios_reading	[deontological,deontological]
GROUND	nicene_creed_authority__strict_orthodox_reading	[deontological,instrumental]
GROUND	nicene_creed_authority__symbolic_confessional_reading	[deontological,empirically_contingent]
GROUND	notability_guidelines__deletionist_reading	[empirically_contingent,instrumental]
GROUND	notability_guidelines__inclusionist_reading	[deontological,empirically_contingent]
GROUND	npt_article_iv_vi_pairing__abolitionist	[deontological,deontological,empirically_contingent]
GROUND	npt_article_iv_vi_pairing__grand_bargain	[conventional,deontological]
GROUND	npt_article_iv_vi_pairing__nonproliferation_primary	[conventional,empirically_contingent]
GROUND	npt_treaty_1970__oligopoly_enforcement_reading	[conventional,instrumental]
GROUND	npt_treaty_1970__reciprocal_disarmament_reading	[conventional,deontological]
GROUND	npt_treaty_1970__withdrawal_sovereignty_reading	[deontological,instrumental]
GROUND	npt_treaty_text__nnws_reading	[conventional,deontological]
GROUND	npt_treaty_text__nws_reading	[conventional,empirically_contingent]
GROUND	npt_treaty_text__withdrawal_threshold_reading	[conventional,instrumental]
GROUND	nsl_legal_text__democratic_enclosure_reading	[deontological,empirically_contingent]
GROUND	nsl_legal_text__jurisdictional_capture_reading	[deontological,deontological]
GROUND	nsl_legal_text__sovereignty_restoration_reading	[deontological,empirically_contingent]
GROUND	nuclear_impossibility_kernel__credibility_paradox_reading	[empirically_contingent,empirically_contingent]
GROUND	nuclear_impossibility_kernel__rational_dropout_reading	[empirically_contingent,empirically_contingent]
GROUND	nuclear_impossibility_kernel__structural_contraction_reading	[deontological,empirically_contingent]
GROUND	one_country_two_systems_framework__autonomy_primacy_reading	[conventional,deontological]
GROUND	one_country_two_systems_framework__balanced_coexistence_reading	[conventional,deontological]
GROUND	one_country_two_systems_framework__sovereignty_primacy_reading	[deontological,deontological]
GROUND	orthographic_kernel__continuity_reading	[empirically_contingent,theological]
GROUND	orthographic_kernel__modernization_reading	[empirically_contingent,instrumental]
GROUND	orthographic_kernel__rupture_reading	[deontological,instrumental]
GROUND	orthographic_legitimacy_kernel__continuity_reading	[deontological,empirically_contingent]
GROUND	orthographic_legitimacy_kernel__instrumentalist_reading	[empirically_contingent,instrumental]
GROUND	orthographic_legitimacy_kernel__modernist_reading	[deontological,empirically_contingent]
GROUND	ost_article_ii_non_appropriation__commons_conservation	[deontological,instrumental]
GROUND	ost_article_ii_non_appropriation__extraction_permissive	[conventional,deontological]
GROUND	ost_article_ii_non_appropriation__international_regime	[conventional,deontological]
GROUND	paris_article_4_ndc__equity_reading	[deontological,deontological]
GROUND	paris_article_4_ndc__sovereigntist_reading	[conventional,deontological]
GROUND	paris_article_4_ndc__supranational_reading	[empirically_contingent,instrumental]
GROUND	performance_legitimacy__livelihood_security_reading	[deontological,instrumental]
GROUND	performance_legitimacy__qualitative_development_reading	[deontological,empirically_contingent]
GROUND	performance_legitimacy__quantitative_growth_reading	[conventional,empirically_contingent]
GROUND	performance_legitimacy__techno_nationalist_reading	[deontological,empirically_contingent]
GROUND	permissive_license_text__commons_coordination_reading	[empirically_contingent,instrumental]
GROUND	permissive_license_text__copyleft_counterfactual_reading	[deontological,empirically_contingent]
GROUND	permissive_license_text__corporate_moat_reading	[deontological,empirically_contingent]
GROUND	personhood_boundary__birth_threshold_reading	[deontological,deontological]
GROUND	personhood_boundary__fitness_contingent_reading	[deontological,empirically_contingent]
GROUND	personhood_boundary__potential_based_reading	[conventional,deontological,empirically_contingent]
GROUND	plural_marriage_mandate__endogenous_reinterpretation_reading	[conventional,deontological]
GROUND	plural_marriage_mandate__exogenous_override_reading	[deontological,deontological]
GROUND	plural_marriage_mandate__institutional_pragmatism_reading	[empirically_contingent,instrumental]
GROUND	preparedness_commitment__competence_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_commitment__husk_reading	[empirically_contingent,instrumental]
GROUND	preparedness_commitment__hybrid_reading	[deontological,instrumental]
GROUND	preparedness_persistence__competence_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_persistence__husk_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_persistence__hybrid_reading	[empirically_contingent,instrumental]
GROUND	preparedness_retention__competence_reading	[empirically_contingent,instrumental]
GROUND	preparedness_retention__husk_reading	[deontological,empirically_contingent]
GROUND	preparedness_retention__hybrid_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_transmission__competence_reading	[empirically_contingent,empirically_contingent]
GROUND	preparedness_transmission__husk_reading	[conventional,empirically_contingent]
GROUND	preparedness_transmission__hybrid_reading	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	press_reformation_causality__co_constitution	[empirically_contingent,instrumental]
GROUND	press_reformation_causality__technological_determinism	[conventional,empirically_contingent]
GROUND	press_reformation_causation__technological_determinism	[empirically_contingent,empirically_contingent]
GROUND	price_formation_kernel__financialization_reading	[deontological,empirically_contingent,empirically_contingent]
GROUND	price_formation_kernel__georgist_reading	[deontological,empirically_contingent,empirically_contingent]
GROUND	price_formation_kernel__institutional_reading	[conventional,deontological,empirically_contingent]
GROUND	price_formation_kernel__naturalist_reading	[empirically_contingent,instrumental]
GROUND	provincial_sovereignty_boundary__compact_federalism	[conventional,conventional]
GROUND	provincial_sovereignty_boundary__constitutional_subordination	[conventional,deontological]
GROUND	provincial_sovereignty_boundary__resource_sovereignty_primacy	[conventional,deontological]
GROUND	public_health_mandate_authority__bodily_autonomy_primary	[deontological,deontological]
GROUND	public_health_mandate_authority__proportionality_reading	[deontological,empirically_contingent,instrumental]
GROUND	public_health_mandate_authority__public_health_primary	[conventional,deontological]
GROUND	qualified_immunity_doctrine__accountability_void_reading	[empirically_contingent,instrumental]
GROUND	qualified_immunity_doctrine__constitutional_fidelity_reading	[deontological,empirically_contingent]
GROUND	quantum_formalism__copenhagen_reading	[conventional,deontological,empirically_contingent]
GROUND	quantum_formalism__many_worlds_reading	[deontological,empirically_contingent,empirically_contingent,instrumental]
GROUND	quantum_formalism__pilot_wave_reading	[deontological,deontological,deontological,empirically_contingent]
GROUND	quran_9_5_scope__abrogating_universal	[deontological,deontological]
GROUND	quran_9_5_scope__contextual_defensive	[deontological,deontological,deontological]
GROUND	quran_9_5_scope__progressive_synthesis	[deontological,deontological]
GROUND	quran_hadith_substrate__reformist_ijtihad	[deontological,empirically_contingent,instrumental]
GROUND	quran_hadith_substrate__state_hybrid	[instrumental,instrumental]
GROUND	quran_hadith_substrate__traditionalist_taqlid	[conventional,deontological,empirically_contingent]
GROUND	quran_ontological_status__created_reading	[deontological,instrumental]
GROUND	quran_ontological_status__state_enforced_creation_reading	[conventional,empirically_contingent]
GROUND	quran_ontological_status__uncreated_reading	[conventional,deontological]
GROUND	quranic_gender_verses__contextual_egalitarian	[deontological,empirically_contingent,instrumental]
GROUND	quranic_gender_verses__literal_hierarchical	[deontological,theological]
GROUND	quranic_gender_verses__progressive_abrogation	[conventional,empirically_contingent]
GROUND	qwerty_persistence__incumbent_preservation_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence__lapsed_alternatives_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_inevitability__path_dependency_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_inevitability__strategic_lock_in_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_mechanism__beneficiary_extraction_reading	[empirically_contingent,instrumental]
GROUND	qwerty_persistence_mechanism__lock_in_reading	[empirically_contingent,empirically_contingent]
GROUND	qwerty_persistence_mechanism__naturalization_reading	[empirically_contingent,empirically_contingent]
GROUND	rbio_practice_norm_complex__hegemonic_extraction_reading	[empirically_contingent,empirically_contingent]
GROUND	rbio_practice_norm_complex__liberal_institutional_reading	[conventional,deontological,empirically_contingent]
GROUND	rbio_practice_norm_complex__sovereignty_maximalist_reading	[deontological,deontological]
GROUND	reading_acquisition_legitimacy__balanced_literacy_integration	[empirically_contingent,instrumental]
GROUND	reading_acquisition_legitimacy__phonics_decoding_primacy	[empirically_contingent,empirically_contingent,empirically_contingent]
GROUND	reading_acquisition_legitimacy__structured_literacy_remediation	[empirically_contingent,empirically_contingent]
GROUND	reading_acquisition_mechanism__balanced_literacy_reading	[empirically_contingent,instrumental]
GROUND	reading_acquisition_mechanism__phonics_reading	[empirically_contingent,empirically_contingent]
GROUND	reading_acquisition_mechanism__whole_language_reading	[deontological,empirically_contingent]
GROUND	reformation_composite__political_realignment_reading	[deontological,instrumental]
GROUND	reformation_composite__technological_mediation_reading	[empirically_contingent,instrumental]
GROUND	reformation_composite__theological_fragmentation_reading	[deontological,instrumental]
GROUND	reformation_event_boundary__composite_overdetermination_reading	[empirically_contingent,empirically_contingent]
GROUND	reformation_event_boundary__political_swap_reading	[empirically_contingent,empirically_contingent]
GROUND	reformation_event_boundary__theological_climb_reading	[empirically_contingent,instrumental]
GROUND	refugee_convention_text__procedural_integrity_reading	[conventional,deontological]
GROUND	refugee_convention_text__restrictive_sovereignty_reading	[deontological,deontological]
GROUND	remonstrance_authority__crown_reading	[empirically_contingent,instrumental]
GROUND	remonstrance_authority__magistrate_reading	[conventional,deontological]
GROUND	rfc9293_tcp_specification__middlebox_realism_reading	[deontological,empirically_contingent]
GROUND	rfc9293_tcp_specification__optimization_latitude_reading	[empirically_contingent,instrumental]
GROUND	rfc9293_tcp_specification__strict_invariance_reading	[conventional,empirically_contingent]
GROUND	rogers_commission_findings__actuarial_risk_acceptance	[conventional,empirically_contingent]
