ROW abrahamic_covenant | abrahamic_covenant__isaac_covenant_reading | incoherent | dead
ROW genesis_creation_cosmology | genesis_creation_cosmology__young_earth_literal | incoherent | dead
ROW genesis_creation_narrative | genesis_creation_narrative__allegorical_ancient_near_east | coherent | live
ROW genesis_creation_narrative | genesis_creation_narrative__literal_young_earth | incoherent | dead
ROW genesis_creation_narrative | genesis_creation_narrative__theistic_evolutionary | incoherent | dead
ROW geneva_conventions_1949 | geneva_conventions_1949__conditional_reciprocity_reading | coherent | dead
ROW geneva_conventions_1949 | geneva_conventions_1949__humanitarian_ceiling_reading | incoherent | dead
ROW geneva_conventions_1949 | geneva_conventions_1949__security_maximization_reading | incoherent | dead
ROW geneva_conventions_protective_scope | geneva_conventions_protective_scope__hybrid_proportionality_reading | incoherent | dead
ROW geneva_conventions_protective_scope | geneva_conventions_protective_scope__state_centric_reading | incoherent | dead
ROW geneva_conventions_protective_scope | geneva_conventions_protective_scope__universal_rights_reading | coherent | dead
ROW gita_kurukshetra_discourse | gita_kurukshetra_discourse__gandhian_allegorical_reading | incoherent | dead
ROW gita_kurukshetra_discourse | gita_kurukshetra_discourse__orthodox_literal_reading | incoherent | dead
ROW gita_kurukshetra_discourse | gita_kurukshetra_discourse__universalist_devotional_reading | incoherent | live
ROW gold_fiat_transition_mechanism | gold_fiat_transition_mechanism__automatic_constraint_reading | incoherent | dead
ROW gold_fiat_transition_mechanism | gold_fiat_transition_mechanism__composite_overdetermination_reading | incoherent | dead
ROW gold_fiat_transition_mechanism | gold_fiat_transition_mechanism__creditor_discipline_reading | incoherent | dead
ROW gpl_copyleft_scope | gpl_copyleft_scope__enforcement_vacuum_reading | incoherent | dead
ROW gpl_copyleft_scope | gpl_copyleft_scope__narrow_scope_reading | incoherent | dead
ROW gpl_copyleft_scope | gpl_copyleft_scope__strong_copyleft_reading | incoherent | dead
ROW gpl_derivative_work_trigger | gpl_derivative_work_trigger__broad_copyleft_reading | incoherent | dead
ROW gpl_derivative_work_trigger | gpl_derivative_work_trigger__interface_boundary_reading | incoherent | dead
ROW gpl_derivative_work_trigger | gpl_derivative_work_trigger__narrow_linking_permissive_reading | incoherent | dead
ROW gpl_reciprocity_obligation | gpl_reciprocity_obligation__copyleft_as_commons_reading | incoherent | dead
ROW gpl_reciprocity_obligation | gpl_reciprocity_obligation__copyleft_as_freedom_reading | incoherent | dead
ROW gpl_reciprocity_obligation | gpl_reciprocity_obligation__copyleft_as_restriction_reading | incoherent | dead
ROW hagia_sophia_substrate | hagia_sophia_substrate__islamic_sovereignty_reading | incoherent | dead
ROW hagia_sophia_substrate | hagia_sophia_substrate__orthodox_restitution_reading | incoherent | dead
ROW hagia_sophia_substrate | hagia_sophia_substrate__universal_heritage_reading | incoherent | dead
ROW hebrew_continuity | hebrew_continuity__bridge_pidginized | incoherent | dead
ROW hebrew_continuity | hebrew_continuity__liturgical_preservation | incoherent | dead
ROW hebrew_continuity | hebrew_continuity__native_generative | incoherent | dead
ROW hebrew_linguistic_life | hebrew_linguistic_life__liturgical_preservation_reading | incoherent | dead
ROW hebrew_linguistic_life | hebrew_linguistic_life__marketplace_pidgin_reading | coherent | dead
ROW hebrew_linguistic_life | hebrew_linguistic_life__native_generational_reading | incoherent | dead
ROW hebrew_living_language | hebrew_living_language__hybrid_continuity_reading | coherent | dead
ROW hebrew_living_language | hebrew_living_language__liturgical_preservation_reading | coherent | dead
ROW hebrew_living_language | hebrew_living_language__native_vernacular_reading | incoherent | dead
ROW herem_command_dt7 | herem_command_dt7__allegorical_displacement_reading | coherent | live
ROW herem_command_dt7 | herem_command_dt7__contextual_supersession_reading | incoherent | dead
ROW herem_command_dt7 | herem_command_dt7__durable_separation_reading | incoherent | live
ROW historical_treaty_substrate | historical_treaty_substrate__extinguishment_reading | incoherent | dead
ROW historical_treaty_substrate | historical_treaty_substrate__nation_to_nation_reading | incoherent | dead
ROW historical_treaty_substrate | historical_treaty_substrate__stewardship_reading | incoherent | dead
ROW hoa_covenant_scope | hoa_covenant_scope__behavioral_control_reading | incoherent | dead
ROW hoa_covenant_scope | hoa_covenant_scope__coordination_reading | coherent | live
ROW hoa_covenant_scope | hoa_covenant_scope__extraction_reading | incoherent | dead
ROW homoousios_christology | homoousios_christology__arian_reading | incoherent | dead
ROW homoousios_christology | homoousios_christology__pro_nicene_reading | incoherent | dead
ROW homoousios_christology | homoousios_christology__semi_arian_reading | incoherent | live
ROW homoousios_nicene | homoousios_nicene__honorific_similarity_reading | incoherent | dead
ROW homoousios_nicene | homoousios_nicene__metaphysical_equality_reading | incoherent | dead
ROW homoousios_nicene | homoousios_nicene__subordinationist_reading | incoherent | dead
ROW honor_satisfaction_mechanism | honor_satisfaction_mechanism__composite_reading | incoherent | dead
ROW honor_satisfaction_mechanism | honor_satisfaction_mechanism__contraction_reading | coherent | dead
ROW honor_satisfaction_mechanism | honor_satisfaction_mechanism__decline_reading | incoherent | live
ROW honor_satisfaction_substrate | honor_satisfaction_substrate__composite_overdetermined_reading | incoherent | dead
ROW honor_satisfaction_substrate | honor_satisfaction_substrate__practice_decline_reading | incoherent | dead
ROW honor_settlement_legitimacy | honor_settlement_legitimacy__composite_reading | incoherent | dead
ROW honor_settlement_legitimacy | honor_settlement_legitimacy__contraction_reading | coherent | dead
ROW honor_settlement_legitimacy | honor_settlement_legitimacy__drop_reading | incoherent | dead
ROW honor_violence_legitimacy | honor_violence_legitimacy__composite_reading | incoherent | live
ROW honor_violence_legitimacy | honor_violence_legitimacy__contraction_reading | incoherent | live
ROW honor_violence_legitimacy | honor_violence_legitimacy__drop_reading | incoherent | live
ROW humane_treatment_standard | humane_treatment_standard__absolute_prohibition | incoherent | dead
ROW humane_treatment_standard | humane_treatment_standard__contextual_necessity | incoherent | dead
ROW humane_treatment_standard | humane_treatment_standard__proportionality_balancing | coherent | dead
ROW ietf_openness_commitment | ietf_openness_commitment__capture_substrate_reading | incoherent | dead
ROW ietf_openness_commitment | ietf_openness_commitment__commons_stewardship_reading | incoherent | live
ROW ietf_openness_commitment | ietf_openness_commitment__legitimacy_erosion_reading | incoherent | dead
ROW ihl_distinction_proportionality | ihl_distinction_proportionality__categorical_prohibition_reading | incoherent | dead
ROW ihl_distinction_proportionality | ihl_distinction_proportionality__human_agency_reading | incoherent | dead
ROW ihl_distinction_proportionality | ihl_distinction_proportionality__outcomes_based_reading | incoherent | dead
ROW imperial_mandate | imperial_mandate__bakufu_delegation_reading | coherent | dead
ROW imperial_mandate | imperial_mandate__loyalist_restoration_reading | incoherent | dead
ROW income_support_commitment | income_support_commitment__care_economy_reading | incoherent | dead
ROW income_support_commitment | income_support_commitment__dependency_trap_reading | incoherent | dead
ROW income_support_commitment | income_support_commitment__freedom_floor_reading | incoherent | dead
ROW income_support_conditionality | income_support_conditionality__dependency_trap_reading | incoherent | dead
ROW income_support_conditionality | income_support_conditionality__freedom_floor_reading | coherent | dead
ROW income_support_conditionality | income_support_conditionality__wage_subsidy_reading | incoherent | dead
ROW (none) | institutional_legitimacy_without_consent | incoherent | dead
ROW (none) | international_law_instrumentalization | incoherent | dead
ROW (none) | interpretive_authority_concentration | incoherent | dead
ROW ip_category_emergence | ip_category_emergence__first_holding_reading | incoherent | live
ROW ip_category_emergence | ip_category_emergence__synchronic_diachronic_seam | incoherent | dead
ROW ip_category_emergence | ip_category_emergence__thinkability_reading | incoherent | dead
ROW irc_469_material_participation_kernel | irc_469_material_participation_kernel__statutory_ambiguity_substrate | incoherent | live
ROW irc_469_material_participation_kernel | irc_469_material_participation_kernel__strategic_shelter_reading | incoherent | dead
ROW irc_469_material_participation_kernel | irc_469_material_participation_kernel__strict_gatekeeper_reading | incoherent | dead
ROW jati_practice_norm | jati_practice_norm__colonial_census_reading | incoherent | dead
ROW jati_practice_norm | jati_practice_norm__localized_practice_reading | coherent | dead
ROW jati_practice_norm | jati_practice_norm__orthodox_textual_reading | incoherent | dead
ROW jcpoa_treaty_bindingness | jcpoa_treaty_bindingness__binding_multilateral_reading | incoherent | dead
ROW jcpoa_treaty_bindingness | jcpoa_treaty_bindingness__graduated_compliance_reading | coherent | live
ROW jcpoa_treaty_bindingness | jcpoa_treaty_bindingness__transactional_provisional_reading | incoherent | live
ROW jihad_quranic_corpus | jihad_quranic_corpus__defensive_spiritual_reading | incoherent | dead
ROW jihad_quranic_corpus | jihad_quranic_corpus__expansionist_legalist_reading | incoherent | dead
ROW jihad_quranic_corpus | jihad_quranic_corpus__revolutionary_vanguard_reading | incoherent | dead
ROW john_1_1_logos | john_1_1_logos__non_incarnational_monotheist | incoherent | dead
ROW john_1_1_logos | john_1_1_logos__orthodox_christological | incoherent | dead
ROW john_1_1_logos | john_1_1_logos__subordinationist | incoherent | dead
ROW july_charter_sovereign_legitimacy | july_charter_sovereign_legitimacy__guided_nationalism_reading | incoherent | dead
ROW july_charter_sovereign_legitimacy | july_charter_sovereign_legitimacy__military_custodian_reading | incoherent | dead
ROW july_charter_sovereign_legitimacy | july_charter_sovereign_legitimacy__secular_democratic_reading | incoherent | dead
ROW jurisprudential_method_kernel | jurisprudential_method_kernel__hanafi_reading | incoherent | live
ROW jurisprudential_method_kernel | jurisprudential_method_kernel__hanbali_reading | incoherent | dead
ROW jurisprudential_method_kernel | jurisprudential_method_kernel__maliki_reading | incoherent | dead
ROW jurisprudential_method_kernel | jurisprudential_method_kernel__shafii_reading | incoherent | dead
ROW kami_buddha_ontology | kami_buddha_ontology__domain_partition_reading | incoherent | dead
ROW kami_buddha_ontology | kami_buddha_ontology__pragmatic_accommodation_reading | incoherent | dead
ROW kami_buddha_ontology | kami_buddha_ontology__unified_manifestation_reading | incoherent | dead
ROW kjv_text_1611 | kjv_text_1611__exclusive_inspiration_reading | incoherent | dead
ROW kjv_text_1611 | kjv_text_1611__functional_equivalence_reading | incoherent | dead
ROW kjv_text_1611 | kjv_text_1611__revisable_translation_reading | incoherent | dead
ROW kodashim_commandment_status | kodashim_commandment_status__messianic_deferral | incoherent | dead
ROW kodashim_commandment_status | kodashim_commandment_status__performance_only | incoherent | dead
ROW kodashim_commandment_status | kodashim_commandment_status__study_as_performance | coherent | live
ROW kodashim_corpus | kodashim_corpus__performance_only | incoherent | dead
ROW kodashim_corpus | kodashim_corpus__study_as_exercise | coherent | live
ROW kodashim_corpus | kodashim_corpus__substitution_archive | incoherent | dead
ROW kodashim_obligation | kodashim_obligation__memorial_archival | incoherent | live
ROW kodashim_obligation | kodashim_obligation__performance_prerequisite | incoherent | dead
ROW kodashim_obligation | kodashim_obligation__study_as_occupation | incoherent | dead
ROW (none) | large_language_model_training_data_acquisition | incoherent | live
ROW latin_correctness | latin_correctness__continuity_reading | coherent | dead
ROW latin_correctness | latin_correctness__hybrid_reading | incoherent | dead
ROW latin_correctness | latin_correctness__rupture_reading | incoherent | dead
ROW lausanne_minority_protections | lausanne_minority_protections__expansive_reading | coherent | dead
ROW lausanne_minority_protections | lausanne_minority_protections__guarantor_reading | coherent | dead
ROW lausanne_minority_protections | lausanne_minority_protections__restrictive_reading | incoherent | dead
ROW legal_personhood_boundary | legal_personhood_boundary__developmental_potentiality_reading | incoherent | dead
ROW legal_personhood_boundary | legal_personhood_boundary__functional_capacity_reading | incoherent | dead
ROW legal_personhood_boundary | legal_personhood_boundary__restrictive_anthropocentric_reading | incoherent | dead
ROW legitimacy_of_imposed_practice | legitimacy_of_imposed_practice__endogenous_climb_reading | incoherent | dead
ROW legitimacy_of_imposed_practice | legitimacy_of_imposed_practice__exogenous_override_reading | incoherent | dead
ROW legitimacy_of_imposed_practice | legitimacy_of_imposed_practice__hybrid_scaffolding_reading | incoherent | dead
ROW legitimacy_of_practice_standardization | legitimacy_of_practice_standardization__dual_practice_equilibrium_reading | incoherent | dead
ROW legitimacy_of_practice_standardization | legitimacy_of_practice_standardization__endogenous_displacement_reading | coherent | dead
ROW legitimacy_of_practice_standardization | legitimacy_of_practice_standardization__exogenous_override_reading | incoherent | live
ROW legitimate_health_intervention | legitimate_health_intervention__bodily_autonomy_primary | incoherent | dead
ROW legitimate_health_intervention | legitimate_health_intervention__proportionality_reading | incoherent | dead
ROW legitimate_health_intervention | legitimate_health_intervention__public_health_primary | incoherent | dead
ROW legitimate_knowledge_boundary | legitimate_knowledge_boundary__credentialed_expertise_reading | incoherent | dead
ROW legitimate_knowledge_boundary | legitimate_knowledge_boundary__experiential_pluralism_reading | incoherent | dead
ROW legitimate_knowledge_boundary | legitimate_knowledge_boundary__hybrid_coproduction_reading | incoherent | dead
ROW liability_attribution | liability_attribution__deployer_liability | incoherent | dead
ROW liability_attribution | liability_attribution__developer_liability | incoherent | dead
ROW liability_attribution | liability_attribution__shared_liability | incoherent | dead
ROW licensing_statute_mandate | licensing_statute_mandate__graduated_access_filter | incoherent | dead
ROW licensing_statute_mandate | licensing_statute_mandate__public_safety_coordination | coherent | dead
ROW licensing_statute_mandate | licensing_statute_mandate__rent_seeking_suppression | incoherent | dead
ROW (none) | liturgical_vernacularization | incoherent | dead
ROW living_language_status | living_language_status__literary_continuity_reading | incoherent | live
ROW living_language_status | living_language_status__liturgical_preservation_reading | incoherent | dead
ROW living_language_status | living_language_status__native_generation_reading | incoherent | dead
ROW lycurgan_laws | lycurgan_laws__adaptive_fiction_reading | incoherent | dead
ROW lycurgan_laws | lycurgan_laws__demographic_trap_reading | incoherent | dead
ROW lycurgan_laws | lycurgan_laws__sacral_fidelity_reading | incoherent | dead
ROW maat_order_principle | maat_order_principle__distributed_maintenance_reading | coherent | dead
ROW maat_order_principle | maat_order_principle__divine_mandate_reading | incoherent | dead
ROW maat_order_principle | maat_order_principle__reciprocity_reading | incoherent | dead
ROW magna_carta_1215 | magna_carta_1215__baronial_privilege_reading | incoherent | dead
ROW magna_carta_1215 | magna_carta_1215__living_document_reading | incoherent | live
ROW magna_carta_1215 | magna_carta_1215__universal_rights_reading | incoherent | live
ROW magna_carta_clause_39 | magna_carta_clause_39__feudal_prerogative_reading | coherent | dead
ROW magna_carta_clause_39 | magna_carta_clause_39__liberal_due_process_reading | incoherent | dead
ROW magna_carta_clause_39 | magna_carta_clause_39__originalist_limitation_reading | incoherent | live
ROW magna_carta_constraint_authority | magna_carta_constraint_authority__feudal_obsolescence_reading | incoherent | live
ROW magna_carta_constraint_authority | magna_carta_constraint_authority__living_constitutionalism_reading | coherent | live
ROW magna_carta_constraint_authority | magna_carta_constraint_authority__parliamentary_sovereignty_reading | incoherent | dead
ROW mandate_legitimacy_scope | mandate_legitimacy_scope__bodily_autonomy_primary | incoherent | dead
ROW mandate_legitimacy_scope | mandate_legitimacy_scope__proportionality_reading | incoherent | live
ROW mandate_legitimacy_scope | mandate_legitimacy_scope__public_health_primary | incoherent | live
ROW manifesto_revolutionary_method | manifesto_revolutionary_method__council_communist_reading | coherent | dead
ROW manifesto_revolutionary_method | manifesto_revolutionary_method__democratic_gradualism_reading | incoherent | dead
ROW manifesto_revolutionary_method | manifesto_revolutionary_method__vanguard_rupture_reading | incoherent | dead
ROW market_as_natural_default | market_as_natural_default__beneficiary_maintained_reading | incoherent | dead
ROW market_as_natural_default | market_as_natural_default__dual_operation_reading | incoherent | dead
ROW market_as_natural_default | market_as_natural_default__engineered_closure_reading | incoherent | dead
ROW market_as_natural_default | market_as_natural_default__lapsed_alternative_reading | incoherent | dead
ROW market_as_natural_default | market_as_natural_default__lapsed_closure_reading | incoherent | dead
ROW market_naturalization | market_naturalization__beneficiary_maintained_reading | incoherent | dead
ROW market_naturalization | market_naturalization__hybrid_reading | incoherent | dead
ROW market_naturalization | market_naturalization__lapsed_alternative_reading | incoherent | dead
ROW marriage_authority | marriage_authority__communal_autonomy_reading | coherent | dead
ROW marriage_authority | marriage_authority__federalist_millet_reading | coherent | dead
ROW marriage_authority | marriage_authority__gender_rights_reading | incoherent | dead
ROW marriage_authority | marriage_authority__judicial_harmonization_reading | incoherent | dead
ROW marriage_authority | marriage_authority__secularist_reading | incoherent | dead
ROW marriage_commitment_legitimacy | marriage_commitment_legitimacy__endogenous_reinterpretation_reading | coherent | dead
ROW marriage_commitment_legitimacy | marriage_commitment_legitimacy__exogenous_override_reading | incoherent | dead
ROW marriage_commitment_legitimacy | marriage_commitment_legitimacy__hybrid_pragmatic_reading | incoherent | dead
ROW marriage_commitment_reversal | marriage_commitment_reversal__endogenous_reinterpretation_reading | coherent | dead
ROW marriage_commitment_reversal | marriage_commitment_reversal__exogenous_override_reading | coherent | dead
ROW marriage_commitment_reversal | marriage_commitment_reversal__practice_doctrine_gap | incoherent | dead
ROW marriage_sacrament | marriage_sacrament__civic_pastoral_reading | coherent | dead
ROW marriage_sacrament | marriage_sacrament__hierarchical_indissolubility_reading | incoherent | dead
ROW (none) | meritocracy_theater | incoherent | live
ROW monetary_anchor_principle | monetary_anchor_principle__overdetermined_composite_reading | incoherent | dead
ROW monetary_anchor_principle | monetary_anchor_principle__punctuated_swap_reading | incoherent | dead
ROW monetary_anchor_principle | monetary_anchor_principle__triffin_inevitability_reading | coherent | dead
ROW monopoly_rulebook | monopoly_rulebook__extraction_demo_reading | incoherent | dead
ROW monopoly_rulebook | monopoly_rulebook__social_scaffold_reading | incoherent | live
ROW monopoly_rulebook | monopoly_rulebook__tournament_orthodoxy_reading | coherent | live
ROW montevideo_statehood_criteria | montevideo_statehood_criteria__constitutive_reading | incoherent | dead
ROW montevideo_statehood_criteria | montevideo_statehood_criteria__declaratory_reading | incoherent | live
ROW montevideo_statehood_criteria | montevideo_statehood_criteria__hybrid_reading | incoherent | dead
ROW nafta_jurisdictional_boundary | nafta_jurisdictional_boundary__capital_supremacy_reading | incoherent | dead
ROW nafta_jurisdictional_boundary | nafta_jurisdictional_boundary__embedded_liberalism_reading | incoherent | dead
ROW nafta_jurisdictional_boundary | nafta_jurisdictional_boundary__sovereignty_primacy_reading | incoherent | dead
ROW naskh_principle | naskh_principle__classical_abrogation | incoherent | dead
ROW naskh_principle | naskh_principle__contextual_harmonization | coherent | live
ROW naskh_principle | naskh_principle__progressive_restriction | incoherent | dead
ROW nicene_christological_kernel | nicene_christological_kernel__homoiousios_reading | incoherent | dead
ROW nicene_christological_kernel | nicene_christological_kernel__homoousios_reading | incoherent | dead
ROW nicene_creed_authority | nicene_creed_authority__boundary_maintenance_reading | incoherent | dead
ROW nicene_creed_authority | nicene_creed_authority__confessional_reading | coherent | live
ROW nicene_creed_authority | nicene_creed_authority__imperial_uniformity_reading | incoherent | dead
ROW nicene_creed_authority | nicene_creed_authority__liturgical_habituation_reading | coherent | live
ROW nicene_creed_authority | nicene_creed_authority__strict_orthodox_reading | incoherent | dead
ROW nicene_creed_authority | nicene_creed_authority__symbolic_confessional_reading | coherent | live
ROW notability_guidelines | notability_guidelines__deletionist_reading | coherent | dead
ROW notability_guidelines | notability_guidelines__deliberative_reading | coherent | live
ROW notability_guidelines | notability_guidelines__inclusionist_reading | incoherent | dead
ROW npt_article_iv_vi_pairing | npt_article_iv_vi_pairing__abolitionist | coherent | dead
ROW npt_article_iv_vi_pairing | npt_article_iv_vi_pairing__grand_bargain | incoherent | dead
ROW npt_article_iv_vi_pairing | npt_article_iv_vi_pairing__nonproliferation_primary | incoherent | dead
ROW npt_treaty_1970 | npt_treaty_1970__oligopoly_enforcement_reading | incoherent | dead
ROW npt_treaty_1970 | npt_treaty_1970__reciprocal_disarmament_reading | incoherent | dead
ROW npt_treaty_1970 | npt_treaty_1970__withdrawal_sovereignty_reading | incoherent | dead
ROW npt_treaty_text | npt_treaty_text__nnws_reading | incoherent | dead
ROW npt_treaty_text | npt_treaty_text__nws_reading | incoherent | dead
ROW npt_treaty_text | npt_treaty_text__withdrawal_threshold_reading | incoherent | dead
ROW nsl_legal_text | nsl_legal_text__democratic_enclosure_reading | incoherent | dead
ROW nsl_legal_text | nsl_legal_text__jurisdictional_capture_reading | incoherent | dead
ROW nsl_legal_text | nsl_legal_text__sovereignty_restoration_reading | incoherent | live
ROW nuclear_impossibility_kernel | nuclear_impossibility_kernel__credibility_paradox_reading | incoherent | dead
ROW nuclear_impossibility_kernel | nuclear_impossibility_kernel__rational_dropout_reading | incoherent | dead
ROW nuclear_impossibility_kernel | nuclear_impossibility_kernel__structural_contraction_reading | incoherent | dead
ROW one_country_two_systems_framework | one_country_two_systems_framework__autonomy_primacy_reading | incoherent | dead
ROW one_country_two_systems_framework | one_country_two_systems_framework__balanced_coexistence_reading | coherent | dead
ROW one_country_two_systems_framework | one_country_two_systems_framework__sovereignty_primacy_reading | incoherent | dead
ROW ost_article_ii_non_appropriation | ost_article_ii_non_appropriation__commons_conservation | incoherent | dead
ROW ost_article_ii_non_appropriation | ost_article_ii_non_appropriation__extraction_permissive | incoherent | dead
ROW ost_article_ii_non_appropriation | ost_article_ii_non_appropriation__international_regime | incoherent | dead
ROW (none) | papal_temporal_authority_mountain | incoherent | live
ROW paris_article_4_ndc | paris_article_4_ndc__equity_reading | incoherent | dead
ROW paris_article_4_ndc | paris_article_4_ndc__sovereigntist_reading | coherent | dead
ROW paris_article_4_ndc | paris_article_4_ndc__supranational_reading | incoherent | dead
ROW permissive_license_text | permissive_license_text__commons_coordination_reading | coherent | live
ROW permissive_license_text | permissive_license_text__copyleft_counterfactual_reading | incoherent | dead
ROW permissive_license_text | permissive_license_text__corporate_moat_reading | incoherent | dead
ROW (none) | perovskite_solar_cell_certification_gap | incoherent | dead
ROW personhood_boundary | personhood_boundary__birth_reading | incoherent | live
ROW personhood_boundary | personhood_boundary__birth_threshold_reading | incoherent | dead
ROW personhood_boundary | personhood_boundary__conception_reading | incoherent | live
ROW personhood_boundary | personhood_boundary__developmental_capacity_reading | incoherent | dead
ROW personhood_boundary | personhood_boundary__spartan_eugenic_reading | incoherent | dead
ROW personhood_boundary | personhood_boundary__viability_reading | incoherent | dead
ROW (none) | pharmaceutical_safety_obfuscation | incoherent | dead
ROW plural_marriage_mandate | plural_marriage_mandate__endogenous_reinterpretation_reading | incoherent | live
ROW plural_marriage_mandate | plural_marriage_mandate__exogenous_override_reading | incoherent | dead
ROW plural_marriage_mandate | plural_marriage_mandate__institutional_pragmatism_reading | incoherent | dead
ROW (none) | power_indexed_classification_variance | incoherent | live
ROW preparedness_commitment | preparedness_commitment__competence_reading | coherent | dead
ROW preparedness_commitment | preparedness_commitment__husk_reading | incoherent | dead
ROW preparedness_commitment | preparedness_commitment__hybrid_reading | incoherent | dead
ROW preparedness_retention | preparedness_retention__competence_reading | coherent | live
ROW preparedness_retention | preparedness_retention__husk_reading | incoherent | dead
ROW preparedness_retention | preparedness_retention__hybrid_reading | incoherent | dead
ROW preparedness_transmission | preparedness_transmission__competence_reading | coherent | dead
ROW preparedness_transmission | preparedness_transmission__husk_reading | incoherent | dead
ROW preparedness_transmission | preparedness_transmission__hybrid_reading | incoherent | dead
ROW press_reformation_causality | press_reformation_causality__beneficiary_deployment | coherent | dead
ROW press_reformation_causality | press_reformation_causality__precondition_convergence | incoherent | dead
ROW press_reformation_causality | press_reformation_causality__technological_inevitability | incoherent | live
ROW press_reformation_causation | press_reformation_causation__mutual_shaping | incoherent | dead
ROW press_reformation_causation | press_reformation_causation__strategic_deployment | coherent | live
ROW press_reformation_causation | press_reformation_causation__technological_determinism | coherent | dead
ROW public_health_mandate_authority | public_health_mandate_authority__bodily_autonomy_primary | incoherent | dead
ROW public_health_mandate_authority | public_health_mandate_authority__proportionality_reading | incoherent | dead
ROW public_health_mandate_authority | public_health_mandate_authority__public_health_primary | incoherent | dead
ROW qualified_immunity_doctrine | qualified_immunity_doctrine__accountability_void_reading | incoherent | dead
ROW qualified_immunity_doctrine | qualified_immunity_doctrine__constitutional_fidelity_reading | incoherent | dead
ROW qualified_immunity_doctrine | qualified_immunity_doctrine__protective_scaffold_reading | incoherent | live
ROW quantum_formalism | quantum_formalism__copenhagen_reading | incoherent | dead
ROW quantum_formalism | quantum_formalism__many_worlds_reading | incoherent | dead
ROW quantum_formalism | quantum_formalism__pilot_wave_reading | incoherent | dead
ROW quran_9_5_scope | quran_9_5_scope__abrogating_universal | incoherent | dead
ROW quran_9_5_scope | quran_9_5_scope__contextual_defensive | coherent | dead
ROW quran_9_5_scope | quran_9_5_scope__progressive_synthesis | incoherent | dead
ROW quran_hadith_substrate | quran_hadith_substrate__reformist_ijtihad | incoherent | live
ROW quran_hadith_substrate | quran_hadith_substrate__state_hybrid | incoherent | dead
ROW quran_hadith_substrate | quran_hadith_substrate__traditionalist_taqlid | incoherent | dead
ROW quran_ontological_status | quran_ontological_status__created_reading | incoherent | dead
ROW quran_ontological_status | quran_ontological_status__state_enforced_creation_reading | incoherent | live
ROW quran_ontological_status | quran_ontological_status__uncreated_reading | incoherent | dead
ROW quranic_gender_verses | quranic_gender_verses__contextual_egalitarian | incoherent | dead
ROW quranic_gender_verses | quranic_gender_verses__literal_hierarchical | incoherent | dead
ROW quranic_gender_verses | quranic_gender_verses__progressive_abrogation | incoherent | dead
ROW qwerty_persistence | qwerty_persistence__incumbent_preservation_reading | incoherent | dead
ROW qwerty_persistence | qwerty_persistence__lapsed_alternatives_reading | incoherent | live
ROW qwerty_persistence_inevitability | qwerty_persistence_inevitability__path_dependency_reading | incoherent | live
ROW qwerty_persistence_inevitability | qwerty_persistence_inevitability__strategic_lock_in_reading | coherent | dead
ROW qwerty_persistence_mechanism | qwerty_persistence_mechanism__beneficiary_extraction_reading | incoherent | dead
ROW qwerty_persistence_mechanism | qwerty_persistence_mechanism__lock_in_reading | incoherent | dead
ROW qwerty_persistence_mechanism | qwerty_persistence_mechanism__naturalization_reading | incoherent | dead
ROW rbio_practice_norm_complex | rbio_practice_norm_complex__hegemonic_extraction_reading | incoherent | dead
ROW rbio_practice_norm_complex | rbio_practice_norm_complex__liberal_institutional_reading | coherent | live
ROW rbio_practice_norm_complex | rbio_practice_norm_complex__sovereignty_maximalist_reading | incoherent | dead
ROW reformation_composite | reformation_composite__political_realignment_reading | incoherent | dead
ROW reformation_composite | reformation_composite__technological_mediation_reading | incoherent | dead
ROW reformation_composite | reformation_composite__theological_fragmentation_reading | incoherent | dead
ROW reformation_event_boundary | reformation_event_boundary__composite_overdetermination_reading | incoherent | dead
ROW reformation_event_boundary | reformation_event_boundary__political_swap_reading | incoherent | live
ROW reformation_event_boundary | reformation_event_boundary__theological_climb_reading | incoherent | dead
ROW refugee_convention_text | refugee_convention_text__expansive_humanitarian_reading | incoherent | dead
ROW refugee_convention_text | refugee_convention_text__procedural_integrity_reading | incoherent | live
ROW refugee_convention_text | refugee_convention_text__restrictive_sovereignty_reading | incoherent | dead
ROW remonstrance_authority | remonstrance_authority__crown_reading | incoherent | dead
ROW remonstrance_authority | remonstrance_authority__magistrate_reading | incoherent | dead
ROW rfc9293_tcp_specification | rfc9293_tcp_specification__middlebox_realism_reading | incoherent | dead
ROW rfc9293_tcp_specification | rfc9293_tcp_specification__optimization_latitude_reading | coherent | live
ROW rfc9293_tcp_specification | rfc9293_tcp_specification__strict_invariance_reading | coherent | live
ROW rogers_commission_findings | rogers_commission_findings__actuarial_risk_acceptance | incoherent | dead
ROW rogers_commission_findings | rogers_commission_findings__engineering_absolute_threshold | incoherent | dead
ROW rogers_commission_findings | rogers_commission_findings__management_compliance_narrative | incoherent | dead
ROW rome_statute_jurisdiction | rome_statute_jurisdiction__hybrid_complementarity_reading | incoherent | dead
ROW rome_statute_jurisdiction | rome_statute_jurisdiction__sovereigntist_reading | incoherent | dead
ROW rome_statute_jurisdiction | rome_statute_jurisdiction__universalist_reading | incoherent | dead
ROW sacrifice_commandment | sacrifice_commandment__archive_maintenance | incoherent | dead
ROW sacrifice_commandment | sacrifice_commandment__performance_only | incoherent | live
ROW sacrifice_commandment | sacrifice_commandment__study_as_performance | coherent | live
ROW salic_prohibition | salic_prohibition__cognatic_reversion_reading | incoherent | dead
